panel_hgnc_id,panel_id,hgnc_id
718,1,HGNC:26690
719,1,HGNC:29086
720,1,HGNC:29298
721,1,HGNC:29182
722,1,HGNC:28209
723,1,HGNC:1859
724,1,HGNC:29021
725,1,HGNC:12370
726,1,HGNC:1161
727,1,HGNC:30794
728,1,HGNC:25815
729,1,HGNC:25740
730,1,HGNC:17966
731,1,HGNC:21638
732,1,HGNC:21699
733,1,HGNC:14253
734,1,HGNC:23752
735,1,HGNC:2205
736,1,HGNC:1863
737,1,HGNC:1869
738,1,HGNC:29523
739,1,HGNC:28506
740,1,HGNC:1301
741,1,HGNC:28188
742,1,HGNC:1260
743,1,HGNC:27232
744,1,HGNC:26684
745,1,HGNC:25631
746,1,HGNC:17229
747,1,HGNC:26708
748,1,HGNC:16053
749,1,HGNC:26530
750,1,HGNC:26676
751,1,HGNC:25325
752,1,HGNC:26107
753,1,HGNC:29368
754,1,HGNC:24010
755,1,HGNC:1037
756,1,HGNC:18292
757,1,HGNC:2771
758,1,HGNC:4883
759,1,HGNC:4888
760,1,HGNC:4890
761,1,HGNC:16980
762,1,HGNC:16979
763,1,HGNC:24668
764,1,HGNC:5394
765,1,HGNC:1875
766,1,HGNC:8864
767,1,HGNC:1884
768,1,HGNC:20311
769,1,HGNC:1912
770,1,HGNC:15559
771,1,HGNC:21645
772,1,HGNC:1915
773,1,HGNC:1916
774,1,HGNC:1917
775,1,HGNC:1918
776,1,HGNC:1919
777,1,HGNC:16816
778,1,HGNC:20626
779,1,HGNC:20153
780,1,HGNC:1925
781,1,HGNC:16627
782,1,HGNC:1937
783,1,HGNC:1938
784,1,HGNC:1940
785,1,HGNC:8740
786,1,HGNC:24537
787,1,HGNC:16171
788,1,HGNC:1943
789,1,HGNC:17433
790,1,HGNC:29861
791,1,HGNC:1952
792,1,HGNC:1955
793,1,HGNC:1956
794,1,HGNC:1957
795,1,HGNC:1958
796,1,HGNC:1961
797,1,HGNC:1962
798,1,HGNC:1965
799,1,HGNC:1966
800,1,HGNC:1967
801,1,HGNC:24464
802,1,HGNC:1971
803,1,HGNC:6938
804,1,HGNC:17198
805,1,HGNC:1974
806,1,HGNC:16920
807,1,HGNC:24579
808,1,HGNC:14214
809,1,HGNC:7067
810,1,HGNC:21219
811,1,HGNC:53647
812,1,HGNC:24212
813,1,HGNC:1985
814,1,HGNC:1987
815,1,HGNC:26877
816,1,HGNC:29675
817,1,HGNC:17412
818,1,HGNC:2019
819,1,HGNC:2020
820,1,HGNC:2021
821,1,HGNC:2022
822,1,HGNC:2023
823,1,HGNC:2024
824,1,HGNC:2025
825,1,HGNC:2026
826,1,HGNC:2027
827,1,HGNC:2032
828,1,HGNC:2033
829,1,HGNC:8514
830,1,HGNC:2035
831,1,HGNC:2037
832,1,HGNC:2040
833,1,HGNC:2047
834,1,HGNC:2051
835,1,HGNC:11891
836,1,HGNC:14558
837,1,HGNC:24039
838,1,HGNC:2074
839,1,HGNC:2076
840,1,HGNC:2077
841,1,HGNC:2079
842,1,HGNC:16999
843,1,HGNC:30664
844,1,HGNC:2084
845,1,HGNC:12605
846,1,HGNC:2092
847,1,HGNC:2095
848,1,HGNC:19009
849,1,HGNC:13164
850,1,HGNC:2148
851,1,HGNC:2150
852,1,HGNC:2151
853,1,HGNC:2153
854,1,HGNC:19700
855,1,HGNC:19701
856,1,HGNC:103
857,1,HGNC:105
858,1,HGNC:7877
859,1,HGNC:7878
860,1,HGNC:7879
861,1,HGNC:10445
862,1,HGNC:2158
863,1,HGNC:11968
864,1,HGNC:2171
865,1,HGNC:2172
866,1,HGNC:8011
867,1,HGNC:13830
868,1,HGNC:33848
869,1,HGNC:18025
870,1,HGNC:25716
871,1,HGNC:20492
872,1,HGNC:29932
873,1,HGNC:2180
874,1,HGNC:6545
875,1,HGNC:6546
876,1,HGNC:18620
877,1,HGNC:14857
878,1,HGNC:18621
879,1,HGNC:18622
880,1,HGNC:18623
881,1,HGNC:2185
882,1,HGNC:2186
883,1,HGNC:2187
884,1,HGNC:2188
885,1,HGNC:2190
886,1,HGNC:2194
887,1,HGNC:2195
888,1,HGNC:2197
889,1,HGNC:2198
890,1,HGNC:18603
891,1,HGNC:22986
892,1,HGNC:2200
893,1,HGNC:2201
894,1,HGNC:2202
895,1,HGNC:2203
896,1,HGNC:2204
897,1,HGNC:2206
898,1,HGNC:2207
899,1,HGNC:2208
900,1,HGNC:2209
901,1,HGNC:2210
902,1,HGNC:2211
903,1,HGNC:2212
904,1,HGNC:2213
905,1,HGNC:2214
906,1,HGNC:2216
907,1,HGNC:2217
908,1,HGNC:2218
909,1,HGNC:2219
910,1,HGNC:2220
911,1,HGNC:17213
912,1,HGNC:26182
913,1,HGNC:2226
914,1,HGNC:2227
915,1,HGNC:2230
916,1,HGNC:2231
917,1,HGNC:2232
918,1,HGNC:25223
919,1,HGNC:19693
920,1,HGNC:20233
921,1,HGNC:2244
922,1,HGNC:16812
923,1,HGNC:19041
924,1,HGNC:25302
925,1,HGNC:19012
926,1,HGNC:2252
927,1,HGNC:2260
928,1,HGNC:2261
929,1,HGNC:28216
930,1,HGNC:2263
931,1,HGNC:20213
932,1,HGNC:26970
933,1,HGNC:2265
934,1,HGNC:16232
935,1,HGNC:2277
936,1,HGNC:2279
937,1,HGNC:2280
938,1,HGNC:2291
939,1,HGNC:2295
940,1,HGNC:2296
941,1,HGNC:17245
942,1,HGNC:23228
943,1,HGNC:2299
944,1,HGNC:2303
945,1,HGNC:25801
946,1,HGNC:2309
947,1,HGNC:2312
948,1,HGNC:2321
949,1,HGNC:2323
950,1,HGNC:2324
951,1,HGNC:2326
952,1,HGNC:2328
953,1,HGNC:18540
954,1,HGNC:2330
955,1,HGNC:2336
956,1,HGNC:2340
957,1,HGNC:2343
958,1,HGNC:18688
959,1,HGNC:30185
